sortie,raw_feature,importance
dCorg,n_ferti,0.4408443272649756
dCorg,Jours_op_recolte,0.3572465291092649
dCorg,Jours_semis_F1,0.1739054889873083
dCorg,Jours_F2_F3,0.01565860690896786
dCorg,Jours_F1_F2,0.009608576338306129
dCorg,Jours_av_PREPA,0.0025289541001124027
dCorg,Jour_Semis,0.0001642617448425038
dCorg,has_prepa,4.32555462223591e-05
dCorg,nb_prepa,0.0
dCorg,type_f3_1,0.0
dCorg,type_f2_2,0.0
dCorg,type_f2_1,0.0
dCorg,type_f1_2,0.0
dCorg,type_f1_1,0.0
dCorg,prepa_2,0.0
dCorg,prepa_1,0.0
dCorg,Dose_F1_1,0.0
dCorg,nb_f3,0.0
dCorg,nb_f2,0.0
dCorg,nb_f1,0.0
dCorg,Dose_F1_2,0.0
dCorg,Dose_F3_2,0.0
dCorg,Dose_F3_1,0.0
dCorg,Dose_F2_2,0.0
dCorg,Dose_F2_1,0.0
dCorg,type_f3_2,0.0
